Year,State,Burden Rate,Income per Capita,Taxes Paid to Own State Per Capita,Taxes Paid to Other States Per Capita,Total Taxes Paid Per Capita
2010,South Carolina,0.09,31927.50,1891.06,871.51,2762.57
2010,South Dakota,0.08,39330.04,1800.69,1244.07,3044.76
2010,Tennessee,0.08,34242.23,1775.72,883.67,2659.39
2010,Texas,0.08,37720.38,2222.16,883.60,3105.76
2010,Utah,0.10,33258.75,2301.40,962.02,3263.42
2010,Vermont,0.11,39324.65,2902.02,1266.32,4168.34
2010,Virginia,0.10,44911.53,3115.95,1281.35,4397.30
2010,Washington,0.10,43602.24,3033.44,1183.89,4217.33
2010,West Virginia,0.10,30275.36,2258.37,861.67,3120.04
2010,Wisconsin,0.12,38809.77,3446.67,1005.81,4452.48
2010,Wyoming,0.08,45913.23,2055.13,1702.13,3757.26
2009,Alabama,0.09,32549.66,2018.47,947.82,2966.29
2009,Alaska,0.07,44961.23,1971.81,1161.38,3133.19
2009,Arizona,0.09,34866.80,2158.20,991.55,3149.75
2009,Arkansas,0.11,31057.57,2358.70,905.03,3263.73
2009,California,0.11,42973.67,3865.95,1040.35,4906.30
2009,Colorado,0.09,44173.34,2776.18,1279.46,4055.64
2009,Connecticut,0.13,56174.53,4870.19,2147.92,7018.11
2009,Delaware,0.09,40505.55,2128.71,1692.85,3821.56
2009,District of Columbia,0.10,62670.28,3818.24,2193.80,6012.04
2009,Florida,0.10,38956.79,2638.18,1176.11,3814.29
2009,Georgia,0.10,35167.79,2409.45,968.05,3377.50
2009,Hawaii,0.10,41546.25,3142.98,1116.20,4259.18
2009,Idaho,0.10,32530.50,2225.06,1046.88,3271.94
2009,Illinois,0.11,43667.45,3420.21,1201.13,4621.34
2009,Indiana,0.10,33912.50,2459.38,920.55,3379.93
2009,Iowa,0.10,38154.99,2639.74,1089.37,3729.11
2009,Kansas,0.10,39080.81,2637.28,1270.05,3907.33
2009,Kentucky,0.10,31509.11,2190.54,860.75,3051.29
2009,Louisiana,0.09,36383.11,2121.19,984.22,3105.41
2009,Maine,0.11,35539.87,2816.10,1032.34,3848.44
2009,Maryland,0.11,49571.75,3847.55,1497.76,5345.31
2009,Massachusetts,0.11,50339.02,3858.66,1513.96,5372.62
2009,Michigan,0.10,35009.63,2716.52,873.80,3590.32
2009,Minnesota,0.11,42423.59,3560.26,1117.86,4678.12
2009,Mississippi,0.09,29079.24,1856.15,839.95,2696.10
2009,Missouri,0.10,36218.99,2358.59,1077.97,3436.56
2009,Montana,0.10,34266.61,2115.85,1139.52,3255.37
2009,Nebraska,0.10,39146.93,2789.70,1170.70,3960.40
2009,Nevada,0.08,40027.63,2009.21,1290.16,3299.37
2009,New Hampshire,0.09,44569.98,2174.72,1607.84,3782.56
2009,New Jersey,0.13,52170.38,4771.53,1855.43,6626.96
2009,New Mexico,0.09,32929.27,2080.91,942.94,3023.85
2009,New York,0.13,48544.09,4932.54,1286.72,6219.26
2009,North Carolina,0.10,34550.41,2648.09,952.25,3600.34
2009,North Dakota,0.10,39343.85,2615.37,1223.65,3839.02
2009,Ohio,0.10,35641.62,2690.48,884.86,3575.34
2009,Oklahoma,0.09,35890.56,2287.90,1032.60,3320.50
2009,Oregon,0.10,36376.33,2733.98,1021.68,3755.66
2009,Pennsylvania,0.10,40103.20,3036.49,1132.23,4168.72
2009,Rhode Island,0.11,40997.76,3243.20,1384.48,4627.68
2009,South Carolina,0.09,32158.28,1946.12,913.91,2860.03
2009,South Dakota,0.08,39278.12,1790.31,1268.78,3059.09
2009,Tennessee,0.08,34074.13,1745.20,907.18,2652.38
2009,Texas,0.08,39351.07,2283.39,945.56,3228.95
2009,Utah,0.10,34380.51,2394.07,1042.26,3436.33
2009,Vermont,0.11,39440.53,2849.86,1317.27,4167.13
2009,Virginia,0.10,44935.04,3152.26,1312.21,4464.47
2009,Washington,0.10,44872.44,3056.67,1269.48,4326.15
2009,West Virginia,0.10,30105.62,2222.25,848.73,3070.98
2009,Wisconsin,0.11,38996.89,3428.66,1033.96,4462.62
2009,Wyoming,0.08,48776.99,2153.11,1794.00,3947.11
2008,Alabama,0.09,34078.70,2100.79,1031.39,3132.18
2008,Alaska,0.07,44800.57,1714.12,1192.73,2906.85
2008,Arizona,0.09,38071.05,2402.29,1148.83,3551.12
2008,Arkansas,0.10,32235.77,2377.48,947.67,3325.15
2008,California,0.12,46254.27,4184.40,1167.68,5352.08
2008,Colorado,0.09,47046.10,2883.69,1425.75,4309.44
2008,Connecticut,0.12,61101.18,5000.85,2453.52,7454.37
2008,Delaware,0.10,42716.02,2411.26,1928.95,4340.21
2008,District of Columbia,0.11,64734.55,5001.86,2376.82,7378.68
2008,Florida,0.10,43385.88,2774.23,1341.18,4115.41
2008,Georgia,0.10,37524.99,2609.46,1075.74,3685.20
2008,Hawaii,0.11,43035.42,3312.15,1195.02,4507.17
2008,Idaho,0.10,35197.87,2405.84,1180.59,3586.43
2008,Illinois,0.10,46339.99,3381.28,1323.94,4705.22
2008,Indiana,0.10,35465.18,2464.48,1010.56,3475.04
2008,Iowa,0.09,38863.26,2493.52,1160.57,3654.09
2008,Kansas,0.10,40449.70,2621.60,1348.02,3969.62
2008,Kentucky,0.10,32693.00,2383.73,928.50,3312.23
2008,Louisiana,0.09,37573.05,2285.68,1032.27,3317.95
2008,Maine,0.11,36714.78,2948.65,1141.06,4089.71
2008,Maryland,0.11,51343.47,4094.99,1630.04,5725.03
2008,Massachusetts,0.11,53626.72,4074.36,1699.07,5773.43
2008,Michigan,0.10,36870.60,2703.23,970.54,3673.77
2008,Minnesota,0.11,44553.89,3578.74,1227.07,4805.81
2008,Mississippi,0.09,30008.36,1851.19,886.90,2738.09
2008,Missouri,0.10,37458.28,2434.62,1157.00,3591.62
2008,Montana,0.09,35873.36,2084.05,1231.32,3315.37
2008,Nebraska,0.10,40792.01,2769.30,1258.19,4027.49
2008,Nevada,0.08,45108.36,2024.46,1526.97,3551.43
2008,New Hampshire,0.08,46894.58,1966.96,1798.18,3765.14
2008,New Jersey,0.13,54887.71,4810.96,2044.58,6855.54
2008,New Mexico,0.10,34524.51,2272.65,1033.79,3306.44
2008,New York,0.13,52106.10,5088.61,1457.33,6545.94
2008,North Carolina,0.11,36440.93,2839.56,1051.26,3890.82
2008,North Dakota,0.09,39092.63,2290.15,1235.20,3525.35
2008,Ohio,0.11,37194.10,2942.08,970.82,3912.90
2008,Oklahoma,0.09,37467.77,2278.72,1118.32,3397.04
2008,Oregon,0.10,38411.09,2692.65,1137.08,3829.73
2008,Pennsylvania,0.11,41741.52,3258.20,1232.60,4490.80
2008,Rhode Island,0.11,42786.34,3186.87,1541.31,4728.18
2008,South Carolina,0.09,33782.23,2018.58,1017.12,3035.70
2008,South Dakota,0.07,40641.61,1670.86,1347.95,3018.81
2008,Tennessee,0.08,35757.66,1781.46,999.90,2781.36
2008,Texas,0.08,41086.51,2159.51,1027.21,3186.72
2008,Utah,0.10,36780.74,2607.66,1172.26,3779.92
2008,Vermont,0.11,41276.73,3068.44,1439.99,4508.43
2008,Virginia,0.10,46956.08,3324.19,1432.94,4757.13
2008,Washington,0.10,48107.16,3181.06,1418.84,4599.90
2008,West Virginia,0.10,29729.50,2121.10,868.06,2989.16
2008,Wisconsin,0.11,40325.72,3318.38,1122.50,4440.88
2008,Wyoming,0.08,53467.64,1933.81,2057.83,3991.64
2007,Alabama,0.09,33703.06,2041.09,1000.99,3042.08
2007,Alaska,0.06,42586.81,1522.70,1140.20,2662.90
2007,Arizona,0.10,39118.49,2560.78,1163.72,3724.50
2007,Arkansas,0.10,31099.95,2345.28,884.35,3229.63
2007,California,0.11,46572.42,4078.33,1171.86,5250.19
2007,Colorado,0.09,46644.10,2830.34,1399.43,4229.77
2007,Connecticut,0.12,61055.66,4734.65,2371.17,7105.82
2007,Delaware,0.10,43359.62,2417.70,1881.64,4299.34
2007,District of Columbia,0.11,62137.25,4727.62,2277.25,7004.87
2007,Florida,0.09,44642.82,2736.28,1345.33,4081.61
2007,Georgia,0.10,37991.16,2576.54,1076.62,3653.16
2007,Hawaii,0.10,42479.29,3272.04,1157.81,4429.85
2007,Idaho,0.10,35904.13,2348.03,1194.91,3542.94
2007,Illinois,0.10,45539.33,3215.90,1269.77,4485.67
2007,Indiana,0.09,35357.45,2320.49,975.05,3295.54
2007,Iowa,0.09,36840.23,2350.44,1083.95,3434.39
2007,Kansas,0.10,38870.98,2526.82,1258.76,3785.58
2007,Kentucky,0.10,32274.79,2322.63,890.03,3212.66
2007,Louisiana,0.09,35342.35,2138.67,959.00,3097.67
